self.yaw: 0.15087074041366577
self.home: array('f', [-1.9287900924682617, -1.010053038597107, -3.4827675819396973])
apriltag bezier - count : 499,   delta_t : 59,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.17563605  -1.18546808 -12.39010906]
apriltag bezier - count : 499,   delta_t : 60,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.17398524  -1.19089413 -12.37648392]
apriltag bezier - count : 499,   delta_t : 61,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.17059398  -1.20190573 -12.34806919]
apriltag bezier - count : 499,   delta_t : 62,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.16368675  -1.22251213 -12.29879761]
apriltag bezier - count : 499,   delta_t : 63,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.16149688  -1.2288233  -12.28458118]
apriltag bezier - count : 499,   delta_t : 64,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.15919566  -1.2351768  -12.2705307 ]
apriltag bezier - count : 499,   delta_t : 65,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.15685511  -1.24158096 -12.25655842]
apriltag bezier - count : 499,   delta_t : 66,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.15563917  -1.24488711 -12.24910164]
apriltag bezier - count : 499,   delta_t : 67,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.15253496  -1.25140882 -12.23445702]
apriltag bezier - count : 499,   delta_t : 68,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.14778495  -1.26127744 -12.21290874]
apriltag bezier - count : 499,   delta_t : 69,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.14462423  -1.26789474 -12.19856548]
apriltag bezier - count : 499,   delta_t : 70,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.14147687  -1.27462292 -12.18356323]
apriltag bezier - count : 499,   delta_t : 71,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.13834119  -1.28158665 -12.16884518]
apriltag bezier - count : 499,   delta_t : 72,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1367681   -1.28513598 -12.16161156]
apriltag bezier - count : 499,   delta_t : 73,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.13203287  -1.29589033 -12.13992023]
apriltag bezier - count : 499,   delta_t : 74,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.12891769  -1.30311549 -12.12470055]
apriltag bezier - count : 499,   delta_t : 75,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1227715   -1.31749487 -12.09463596]
apriltag bezier - count : 499,   delta_t : 76,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.11980963  -1.32450008 -12.0799942 ]
apriltag bezier - count : 499,   delta_t : 77,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.11688209  -1.33157098 -12.0645895 ]
apriltag bezier - count : 499,   delta_t : 78,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.11398959  -1.33863294 -12.04936409]
apriltag bezier - count : 499,   delta_t : 79,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.11108828  -1.34568441 -12.03429413]
apriltag bezier - count : 499,   delta_t : 80,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1081171   -1.35263133 -12.01930237]
apriltag bezier - count : 499,   delta_t : 81,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.10507822  -1.35961914 -12.00365448]
apriltag bezier - count : 499,   delta_t : 82,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.1020925   -1.36656249 -11.98820496]
apriltag bezier - count : 499,   delta_t : 83,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.09909439  -1.37343895 -11.97278881]
apriltag bezier - count : 499,   delta_t : 84,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.09325838  -1.38697112 -11.9412899 ]
apriltag bezier - count : 499,   delta_t : 85,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.09046507  -1.39367056 -11.92553616]
apriltag bezier - count : 499,   delta_t : 86,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.08766556  -1.40026343 -11.90980053]
apriltag bezier - count : 499,   delta_t : 87,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.08355641  -1.40997243 -11.88585949]
apriltag bezier - count : 499,   delta_t : 88,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.07955718  -1.41946959 -11.86141586]
apriltag bezier - count : 499,   delta_t : 89,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.07683945  -1.42554426 -11.84541893]
apriltag bezier - count : 499,   delta_t : 90,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.07294512  -1.43439436 -11.82105446]
apriltag bezier - count : 499,   delta_t : 91,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.07170081  -1.43735492 -11.81264591]
apriltag bezier - count : 499,   delta_t : 92,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.06925941  -1.44313836 -11.79603767]
apriltag bezier - count : 499,   delta_t : 93,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.06680703  -1.44878912 -11.77952957]
apriltag bezier - count : 499,   delta_t : 94,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.06441021  -1.45432842 -11.76293564]
apriltag bezier - count : 499,   delta_t : 95,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.0621171  -1.4598527 -11.7456398]
apriltag bezier - count : 499,   delta_t : 96,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.05994725  -1.46520567 -11.72860146]
apriltag bezier - count : 499,   delta_t : 97,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.0588789   -1.46782196 -11.72007561]
apriltag bezier - count : 499,   delta_t : 98,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.05569029  -1.47559762 -11.69468212]
apriltag bezier - count : 499,   delta_t : 99,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.05147552  -1.48597097 -11.65988255]
apriltag bezier - count : 499,   delta_t : 100,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04948568  -1.49093866 -11.64266872]
apriltag bezier - count : 499,   delta_t : 101,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04760885  -1.49573433 -11.62527943]
apriltag bezier - count : 499,   delta_t : 102,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04594469  -1.50029707 -11.60753059]
apriltag bezier - count : 499,   delta_t : 103,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04446077  -1.50452411 -11.59019566]
apriltag bezier - count : 499,   delta_t : 104,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04228854  -1.51061273 -11.56451893]
apriltag bezier - count : 499,   delta_t : 105,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04159856  -1.51256442 -11.55582333]
apriltag bezier - count : 499,   delta_t : 106,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.04091334  -1.51453876 -11.54692078]
apriltag bezier - count : 499,   delta_t : 107,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.03870893  -1.5203501  -11.52078629]
apriltag bezier - count : 499,   delta_t : 108,   xf : [-2.07113395 -3.42591883 -3.4817853 ],   vehicle_position : [ -2.03602457  -1.52610028 -11.49543762]
