self.yaw: 1.8846917152404785
self.home: array('f', [0.8824641108512878, 0.45441657304763794, -1.7762417793273926])
apriltag bezier - count : 456,   delta_t : 9,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79565585 -0.07274493 -9.85519028]
apriltag bezier - count : 456,   delta_t : 10,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79450518 -0.07369655 -9.84460449]
apriltag bezier - count : 456,   delta_t : 11,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79386097 -0.07421232 -9.83940411]
apriltag bezier - count : 456,   delta_t : 12,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79262525 -0.07520714 -9.82917213]
apriltag bezier - count : 456,   delta_t : 13,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.79017824 -0.07642249 -9.81367397]
apriltag bezier - count : 456,   delta_t : 14,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.78828096 -0.07733124 -9.80315113]
apriltag bezier - count : 456,   delta_t : 15,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.78728986 -0.0778254  -9.79806709]
apriltag bezier - count : 456,   delta_t : 16,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.78439081 -0.07916857 -9.78320026]
apriltag bezier - count : 456,   delta_t : 17,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.78219515 -0.079921   -9.77313709]
apriltag bezier - count : 456,   delta_t : 18,   xf : [ 1.69963961  1.23283816 -0.96740085],   vehicle_position : [ 0.77985811 -0.08068152 -9.76286507]
apriltag bezier - count : 447,   delta_t : 19,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.77389705 -0.08235236 -9.73887634]
apriltag bezier - count : 445,   delta_t : 1,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.7676807  -0.08369599 -9.71463776]
apriltag bezier - count : 445,   delta_t : 1,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.76528794 -0.08404543 -9.70519161]
apriltag bezier - count : 445,   delta_t : 2,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.76401693 -0.08423175 -9.70061684]
apriltag bezier - count : 445,   delta_t : 3,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.76002431 -0.08477153 -9.6862154 ]
apriltag bezier - count : 445,   delta_t : 4,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.75456214 -0.08554292 -9.66117668]
apriltag bezier - count : 445,   delta_t : 5,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.75221765 -0.08581423 -9.65034008]
apriltag bezier - count : 445,   delta_t : 6,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.74546945 -0.08584269 -9.6100769 ]
apriltag bezier - count : 445,   delta_t : 7,   xf : [ 1.69974571  1.23288799 -0.96768248],   vehicle_position : [ 0.73779702 -0.0843676  -9.55218887]
apriltag bezier - count : 453,   delta_t : 8,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.73462379 -0.08300146 -9.52540493]
apriltag bezier - count : 453,   delta_t : 1,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.73302716 -0.08240569 -9.51244259]
apriltag bezier - count : 453,   delta_t : 2,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.73204607 -0.08207328 -9.50566673]
apriltag bezier - count : 453,   delta_t : 3,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.72838628 -0.08077566 -9.47981262]
apriltag bezier - count : 453,   delta_t : 4,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.7267738  -0.08005872 -9.46753311]
apriltag bezier - count : 453,   delta_t : 5,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.72503513 -0.07940939 -9.45521355]
apriltag bezier - count : 453,   delta_t : 6,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.72273612 -0.07828442 -9.43696117]
apriltag bezier - count : 453,   delta_t : 7,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.72096109 -0.07675384 -9.41882229]
apriltag bezier - count : 453,   delta_t : 8,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71846116 -0.07475664 -9.39430141]
apriltag bezier - count : 453,   delta_t : 9,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71791703 -0.07419916 -9.38827801]
apriltag bezier - count : 453,   delta_t : 10,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71622241 -0.06848709 -9.33124828]
apriltag bezier - count : 453,   delta_t : 11,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71586674 -0.06428652 -9.29855347]
apriltag bezier - count : 453,   delta_t : 12,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71612382 -0.05882644 -9.2588892 ]
apriltag bezier - count : 453,   delta_t : 13,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71724856 -0.05510945 -9.22499561]
apriltag bezier - count : 453,   delta_t : 14,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71808451 -0.05304985 -9.20509815]
apriltag bezier - count : 453,   delta_t : 15,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71855962 -0.05177752 -9.19192219]
apriltag bezier - count : 453,   delta_t : 16,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.71928829 -0.05027748 -9.17879391]
apriltag bezier - count : 453,   delta_t : 17,   xf : [ 1.78774207  1.13430661 -0.6263153 ],   vehicle_position : [ 0.72015524 -0.04864607 -9.1657505 ]
apriltag bezier - count : 445,   delta_t : 18,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.7224384  -0.04440286 -9.12595749]
apriltag bezier - count : 443,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72433335 -0.04089613 -9.09143925]
apriltag bezier - count : 443,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72515845 -0.03971289 -9.07776546]
apriltag bezier - count : 443,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72610992 -0.03852297 -9.06396294]
apriltag bezier - count : 443,   delta_t : 3,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72874206 -0.03114523 -8.9644413 ]
apriltag bezier - count : 443,   delta_t : 4,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.73055863 -0.02296793 -8.87583828]
apriltag bezier - count : 431,   delta_t : 5,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 7.25357413e-01 -2.04912061e-03 -8.66852188e+00]
apriltag bezier - count : 431,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 7.22108901e-01  2.49996735e-03 -8.61623859e+00]
apriltag bezier - count : 431,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.71569896  0.00971036 -8.5445776 ]
apriltag bezier - count : 431,   delta_t : 3,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.71350139  0.02408716 -8.46838379]
apriltag bezier - count : 411,   delta_t : 4,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.75867099  0.07661492 -8.16954422]
apriltag bezier - count : 395,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.77483976  0.09660569 -8.07471848]
apriltag bezier - count : 390,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.77614623  0.1108419  -7.95119858]
apriltag bezier - count : 390,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.77471346  0.11255916 -7.93454123]
apriltag bezier - count : 383,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.77058494  0.11657019 -7.89664888]
apriltag bezier - count : 382,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76838547  0.11836153 -7.8808589 ]
apriltag bezier - count : 382,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76588416  0.11996993 -7.86566305]
apriltag bezier - count : 382,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76497042  0.120464   -7.86058807]
apriltag bezier - count : 382,   delta_t : 3,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76230258  0.12197754 -7.84557343]
apriltag bezier - count : 382,   delta_t : 4,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76230258  0.12197754 -7.84557343]
apriltag bezier - count : 382,   delta_t : 5,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.75953877  0.12346671 -7.83121014]
apriltag bezier - count : 382,   delta_t : 6,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.75750124  0.1243749  -7.82138205]
apriltag bezier - count : 382,   delta_t : 7,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.75552958  0.12531441 -7.81185865]
apriltag bezier - count : 382,   delta_t : 8,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.74743199  0.13177985 -7.7568202 ]
apriltag bezier - count : 375,   delta_t : 9,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72900099  0.1416944  -7.63442945]
apriltag bezier - count : 375,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72730607  0.14318433 -7.61629391]
apriltag bezier - count : 375,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72216249  0.14809528 -7.55720949]
apriltag bezier - count : 375,   delta_t : 3,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72056824  0.15025136 -7.53546333]
apriltag bezier - count : 375,   delta_t : 4,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.71879053  0.15219116 -7.50899267]
apriltag bezier - count : 375,   delta_t : 5,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.71816063  0.15317237 -7.49382448]
apriltag bezier - count : 375,   delta_t : 6,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.71563804  0.16043198 -7.43637848]
apriltag bezier - count : 359,   delta_t : 7,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.72248286  0.1926498  -7.22500181]
apriltag bezier - count : 348,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.73654133  0.20803277 -7.1083107 ]
apriltag bezier - count : 342,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.74890751  0.22351559 -6.99925327]
apriltag bezier - count : 342,   delta_t : 1,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.7525695   0.22817262 -6.97214937]
apriltag bezier - count : 342,   delta_t : 2,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.75570971  0.23238373 -6.94545031]
apriltag bezier - count : 342,   delta_t : 3,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76397866  0.24220471 -6.88235712]
apriltag bezier - count : 342,   delta_t : 4,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.76920211  0.24957769 -6.84134007]
apriltag bezier - count : 342,   delta_t : 5,   xf : [ 1.63018482  1.07299006 -0.3647176 ],   vehicle_position : [ 0.77426618  0.25863072 -6.7975316 ]
