self.yaw: -0.581749677658081
self.home: array('f', [0.5321373343467712, -0.35414108633995056, -2.5663838386535645])
apriltag bezier - count : 530,   delta_t : 6,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.0376327  -0.46999767 -9.84470081]
apriltag bezier - count : 530,   delta_t : 7,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.03639581 -0.47319359 -9.8296423 ]
apriltag bezier - count : 530,   delta_t : 8,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.03569338 -0.47509724 -9.81869507]
apriltag bezier - count : 530,   delta_t : 9,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.03428409 -0.4788208  -9.79533291]
apriltag bezier - count : 523,   delta_t : 10,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.03051045 -0.49013475 -9.71419239]
apriltag bezier - count : 523,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.02673494 -0.49673265 -9.63922596]
apriltag bezier - count : 523,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.02590868 -0.49792439 -9.62431049]
apriltag bezier - count : 523,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.02258136 -0.50164557 -9.57960129]
apriltag bezier - count : 523,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.02089015 -0.50378853 -9.55801201]
apriltag bezier - count : 523,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.01934649 -0.50578517 -9.53643894]
apriltag bezier - count : 510,   delta_t : 6,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.01269813 -0.51703596 -9.44309902]
apriltag bezier - count : 510,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 0.00954132 -0.52328277 -9.38864899]
apriltag bezier - count : 510,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [ 4.92054783e-03 -5.27600884e-01 -9.33071423e+00]
apriltag bezier - count : 510,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-6.09834213e-04 -5.29600322e-01 -9.28298759e+00]
apriltag bezier - count : 497,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-6.09834213e-04 -5.29600322e-01 -9.28298759e+00]
apriltag bezier - count : 497,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-9.19643417e-03 -5.32306671e-01 -9.21439743e+00]
apriltag bezier - count : 497,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01081034 -0.53289831 -9.20172596]
apriltag bezier - count : 497,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01159845 -0.53317893 -9.19528008]
apriltag bezier - count : 497,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01393926 -0.53427547 -9.1764183 ]
apriltag bezier - count : 497,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01473246 -0.5347563  -9.17016602]
apriltag bezier - count : 497,   delta_t : 6,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.01836821 -0.53718734 -9.13739014]
apriltag bezier - count : 490,   delta_t : 7,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.02579449 -0.54556268 -9.05319405]
apriltag bezier - count : 490,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.02917008 -0.54880762 -9.01527309]
apriltag bezier - count : 490,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.03577694 -0.55470866 -8.94526482]
apriltag bezier - count : 490,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.04233845 -0.56114131 -8.87272453]
apriltag bezier - count : 477,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.05506755 -0.56944931 -8.74357605]
apriltag bezier - count : 470,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.06721656 -0.57473582 -8.59929752]
apriltag bezier - count : 470,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07268564 -0.57697356 -8.54205513]
apriltag bezier - count : 470,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07607351 -0.57903314 -8.50995636]
apriltag bezier - count : 459,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09351084 -0.59505087 -8.30021095]
apriltag bezier - count : 459,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09307437 -0.59905565 -8.2278223 ]
apriltag bezier - count : 445,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08214989 -0.59552026 -8.06531429]
apriltag bezier - count : 445,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07633017 -0.59023947 -7.99233818]
apriltag bezier - count : 445,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07307372 -0.59093595 -7.94992447]
apriltag bezier - count : 431,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07067388 -0.60389543 -7.8059206 ]
apriltag bezier - count : 431,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.07067388 -0.60389543 -7.8059206 ]
apriltag bezier - count : 423,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08124594 -0.63333738 -7.68166447]
apriltag bezier - count : 423,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08233328 -0.63560987 -7.67225218]
apriltag bezier - count : 423,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08296873 -0.63661093 -7.66745663]
apriltag bezier - count : 423,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08356933 -0.63759941 -7.66253901]
apriltag bezier - count : 423,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08527524 -0.64042819 -7.64772177]
apriltag bezier - count : 423,   delta_t : 5,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08636111 -0.6424073  -7.63768578]
apriltag bezier - count : 423,   delta_t : 6,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.08731543 -0.64421761 -7.62765217]
apriltag bezier - count : 414,   delta_t : 7,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09281109 -0.66026759 -7.49418116]
apriltag bezier - count : 414,   delta_t : 1,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09317084 -0.66277254 -7.45248127]
apriltag bezier - count : 414,   delta_t : 2,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09312557 -0.6650117  -7.42453814]
apriltag bezier - count : 414,   delta_t : 3,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.092562   -0.66952866 -7.37578917]
apriltag bezier - count : 402,   delta_t : 4,   xf : [-0.10644555 -1.32101774  0.64315665],   vehicle_position : [-0.09147216 -0.68272287 -7.26554298]
