self.yaw: 0.271124005317688
self.home: array('f', [-1.560584545135498, -1.4816746711730957, 0.18644234538078308])
apriltag bezier - count : 403,   delta_t : 65,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.96611047 -1.55109918 -9.20942974]
apriltag bezier - count : 403,   delta_t : 66,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.96508837 -1.55059397 -9.20371914]
apriltag bezier - count : 403,   delta_t : 67,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.96119475 -1.54888701 -9.18679619]
apriltag bezier - count : 403,   delta_t : 68,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9586823  -1.54762709 -9.17559624]
apriltag bezier - count : 403,   delta_t : 69,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9562695  -1.54616904 -9.16378593]
apriltag bezier - count : 403,   delta_t : 70,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.95397103 -1.54461133 -9.1519413 ]
apriltag bezier - count : 403,   delta_t : 71,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.95160508 -1.54342258 -9.13990593]
apriltag bezier - count : 403,   delta_t : 72,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.94929266 -1.54240322 -9.12773323]
apriltag bezier - count : 403,   delta_t : 73,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.94710243 -1.54119134 -9.11490917]
apriltag bezier - count : 403,   delta_t : 74,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.94505417 -1.53987324 -9.102108  ]
apriltag bezier - count : 403,   delta_t : 75,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.94302499 -1.53862906 -9.08920383]
apriltag bezier - count : 403,   delta_t : 76,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.94204807 -1.53799021 -9.08277702]
apriltag bezier - count : 403,   delta_t : 77,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.93873525 -1.53691399 -9.06237602]
apriltag bezier - count : 403,   delta_t : 78,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.93770421 -1.53649914 -9.05546284]
apriltag bezier - count : 403,   delta_t : 79,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.93565285 -1.53576815 -9.04164886]
apriltag bezier - count : 403,   delta_t : 80,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.93270373 -1.53472304 -9.02079296]
apriltag bezier - count : 403,   delta_t : 81,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.93112528 -1.53416753 -9.00617981]
apriltag bezier - count : 403,   delta_t : 82,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92984653 -1.53391421 -8.99142265]
apriltag bezier - count : 403,   delta_t : 83,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92850244 -1.53383207 -8.97651577]
apriltag bezier - count : 403,   delta_t : 84,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92720866 -1.53371739 -8.9615593 ]
apriltag bezier - count : 403,   delta_t : 85,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92595565 -1.53353143 -8.94593716]
apriltag bezier - count : 403,   delta_t : 86,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92465663 -1.53378224 -8.9303236 ]
apriltag bezier - count : 403,   delta_t : 87,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92322385 -1.53456807 -8.91452408]
apriltag bezier - count : 403,   delta_t : 88,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9217999  -1.53531504 -8.89872742]
apriltag bezier - count : 403,   delta_t : 89,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.92037928 -1.53601825 -8.88231277]
apriltag bezier - count : 403,   delta_t : 90,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91891313 -1.5368458  -8.86602592]
apriltag bezier - count : 403,   delta_t : 91,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91731405 -1.53789735 -8.84972191]
apriltag bezier - count : 403,   delta_t : 92,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91595018 -1.53931165 -8.8332243 ]
apriltag bezier - count : 403,   delta_t : 93,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91455722 -1.54068077 -8.81623268]
apriltag bezier - count : 403,   delta_t : 94,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91384673 -1.54140544 -8.80782223]
apriltag bezier - count : 403,   delta_t : 95,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91230798 -1.54303491 -8.79103947]
apriltag bezier - count : 403,   delta_t : 96,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.91067922 -1.54477692 -8.77442455]
apriltag bezier - count : 403,   delta_t : 97,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9094162  -1.54655838 -8.7570734 ]
apriltag bezier - count : 403,   delta_t : 98,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9094162  -1.54655838 -8.7570734 ]
apriltag bezier - count : 403,   delta_t : 99,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.90591633 -1.55146623 -8.71370697]
apriltag bezier - count : 403,   delta_t : 100,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.9032743  -1.55555844 -8.67824173]
apriltag bezier - count : 403,   delta_t : 101,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.90196896 -1.5589112  -8.65115547]
apriltag bezier - count : 403,   delta_t : 102,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.90046477 -1.56234324 -8.62403774]
apriltag bezier - count : 403,   delta_t : 103,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89996076 -1.56342399 -8.61476135]
apriltag bezier - count : 403,   delta_t : 104,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89864933 -1.56656349 -8.58709049]
apriltag bezier - count : 403,   delta_t : 105,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89799607 -1.56856728 -8.56865692]
apriltag bezier - count : 403,   delta_t : 106,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.8973397  -1.57043743 -8.55021667]
apriltag bezier - count : 403,   delta_t : 107,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89700353 -1.57133317 -8.54080296]
apriltag bezier - count : 403,   delta_t : 108,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89590001 -1.57407618 -8.51296806]
apriltag bezier - count : 403,   delta_t : 109,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89546585 -1.57506299 -8.50371838]
apriltag bezier - count : 403,   delta_t : 110,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.8937422  -1.58140314 -8.43836975]
apriltag bezier - count : 403,   delta_t : 111,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89247262 -1.58527911 -8.40097904]
apriltag bezier - count : 403,   delta_t : 112,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.89139497 -1.58981025 -8.36286545]
apriltag bezier - count : 403,   delta_t : 113,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.88944077 -1.59594083 -8.30624676]
apriltag bezier - count : 403,   delta_t : 114,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.88904738 -1.59776652 -8.28733063]
apriltag bezier - count : 403,   delta_t : 115,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.88689911 -1.603598   -8.22203064]
apriltag bezier - count : 403,   delta_t : 116,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.88587248 -1.60553443 -8.20339108]
apriltag bezier - count : 403,   delta_t : 117,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.88072193 -1.61304677 -8.12142372]
apriltag bezier - count : 403,   delta_t : 118,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.87742162 -1.61794662 -8.06809998]
apriltag bezier - count : 403,   delta_t : 119,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.87440646 -1.62180388 -8.02538204]
apriltag bezier - count : 403,   delta_t : 120,   xf : [-1.04417836 -1.95985465 -1.78444076],   vehicle_position : [-1.86915481 -1.6277951  -7.96026468]
apriltag bezier - count : 373,   delta_t : 121,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.85846579 -1.63844132 -7.86211491]
apriltag bezier - count : 373,   delta_t : 1,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.85084713 -1.64477181 -7.8056078 ]
apriltag bezier - count : 373,   delta_t : 2,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.84898257 -1.6474278  -7.78477192]
apriltag bezier - count : 373,   delta_t : 3,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.8475858  -1.64916289 -7.77135181]
apriltag bezier - count : 373,   delta_t : 4,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.84297562 -1.65418017 -7.72725677]
apriltag bezier - count : 373,   delta_t : 5,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.84297562 -1.65418017 -7.72725677]
apriltag bezier - count : 373,   delta_t : 6,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.84047878 -1.65702391 -7.70231724]
apriltag bezier - count : 373,   delta_t : 7,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.83647227 -1.66123712 -7.65661621]
apriltag bezier - count : 373,   delta_t : 8,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.83277214 -1.66561329 -7.60731649]
apriltag bezier - count : 373,   delta_t : 9,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.8274653  -1.6719749  -7.53362942]
apriltag bezier - count : 373,   delta_t : 10,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.82579494 -1.67388403 -7.51203871]
apriltag bezier - count : 373,   delta_t : 11,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.82423556 -1.67580593 -7.49058723]
apriltag bezier - count : 373,   delta_t : 12,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.82345915 -1.67684317 -7.48002148]
apriltag bezier - count : 373,   delta_t : 13,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.82050169 -1.68074775 -7.4380722 ]
apriltag bezier - count : 373,   delta_t : 14,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.81841314 -1.68323743 -7.40720987]
apriltag bezier - count : 373,   delta_t : 15,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.81686175 -1.68509042 -7.38746786]
apriltag bezier - count : 373,   delta_t : 16,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.81517112 -1.68697596 -7.36855364]
apriltag bezier - count : 373,   delta_t : 17,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.80966783 -1.69195521 -7.31419325]
apriltag bezier - count : 373,   delta_t : 18,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.80740678 -1.6935606  -7.29765081]
apriltag bezier - count : 373,   delta_t : 19,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.80500507 -1.69491553 -7.28135538]
apriltag bezier - count : 373,   delta_t : 20,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.80266201 -1.69597816 -7.26552629]
apriltag bezier - count : 373,   delta_t : 21,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.80027461 -1.69687784 -7.25009394]
apriltag bezier - count : 373,   delta_t : 22,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.79772341 -1.69760394 -7.23541832]
apriltag bezier - count : 373,   delta_t : 23,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.79510069 -1.69802058 -7.22065353]
apriltag bezier - count : 373,   delta_t : 24,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.79240239 -1.69829142 -7.20630884]
apriltag bezier - count : 373,   delta_t : 25,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.78977251 -1.69874394 -7.19219589]
apriltag bezier - count : 373,   delta_t : 26,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.78732121 -1.6991533  -7.17832613]
apriltag bezier - count : 373,   delta_t : 27,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.78492904 -1.69923401 -7.16403389]
apriltag bezier - count : 373,   delta_t : 28,   xf : [-0.95448517 -2.23029093 -0.56796819],   vehicle_position : [-1.78259087 -1.6991564  -7.14991808]
